
 Date : 28/05/2026 10:52                          01      /NAME:PANNJU AGENCIES CO.LT                                   Page :   1

                                                       ANNUAL AUDIT REPORT                                                                                                               ___________________                                                        

====================================================================================================================================
DATE          SALES       SALES       V.A.T.       TOTAL     PROFIT   G.P.%      PETTY       CASH      LAYBYE      LAYBYE   EXPIRED
              EXCL.       EXCEMPT                  COSTS                         CASH        TAKEN     PMNTS       SALES    REFUNDS
====================================================================================================================================
231103          0.00   376670.00        0.00   350664.44    26005.56    6.90 ******.**   376670.00       0.00       0.00      0.00
231104          0.00   427965.00        0.00   393328.65    34636.35    8.09 ******.**   356205.00       0.00       0.00      0.00
231106          0.00   499494.55        0.00   457900.54    41594.02    8.33 ******.**   371065.00       0.00       0.00      0.00
231107          0.00   717637.00        0.00   673246.16    44390.84    6.19 ******.**   717637.00       0.00       0.00      0.00
231108          0.00  1234440.00        0.00  1177581.69    56858.32    4.61 ******.**  1234440.00       0.00       0.00      0.00
231109          0.00   759010.00        0.00   681655.31    77354.70   10.19 ******.**   734810.00       0.00       0.00      0.00
231110          0.00   808875.00        0.00   735271.71    73603.30    9.10 ******.**   808875.00       0.00       0.00      0.00
231111          0.00   447315.00        0.00   414470.93    32844.07    7.34 ******.**   447315.00       0.00       0.00      0.00
231113          0.00   318490.00        0.00   297528.20    20961.80    6.58 ******.**   318490.00       0.00       0.00      0.00
231114          0.00   528434.82        0.00   494233.79    34201.03    6.47 ******.**   376055.00       0.00       0.00      0.00
231115          0.00   525229.92        0.00   480548.27    44681.65    8.51 ******.**   496895.00       0.00       0.00      0.00
231116          0.00   291465.00        0.00   247879.16    43585.84   14.95 ******.**  1236135.00       0.00       0.00      0.00
231117          0.00   302050.00        0.00   267140.59    34909.41   11.56 ******.**   302050.00       0.00       0.00      0.00
231118         43.10   380485.00        6.90   339714.33    40813.78   10.73 ******.**   398465.00       0.00       0.00      0.00
231120          0.00   530390.00        0.00   492474.17    37915.83    7.15 ******.**   530390.00       0.00       0.00      0.00
231121          0.00   713285.00        0.00   667228.12    46056.88    6.46 ******.**   713285.00       0.00       0.00      0.00
231122          0.00   450845.00        0.00   411389.06    39455.94    8.75 ******.**   252625.00       0.00       0.00      0.00
231123          0.00   743180.00        0.00   677861.71    65318.29    8.79 ******.**   733180.00       0.00       0.00      0.00
231124          0.00   405530.00        0.00   366531.52    38998.48    9.62 ******.**   595050.00       0.00       0.00      0.00
231125          0.00   401374.51        0.00   366016.25    35358.26    8.81 ******.**   386924.92       0.00       0.00      0.00
231127          0.00   831825.00        0.00   766136.44    65688.56    7.90 ******.**   831825.00       0.00       0.00      0.00
231128          0.00   326220.00        0.00   298266.08    27953.92    8.57 ******.**   326220.00       0.00       0.00      0.00
231129          0.00   483350.00        0.00   447601.72    35748.28    7.40 ******.**   483350.00       0.00       0.00      0.00
231130          0.00  1277602.00        0.00  1171936.36   105665.64    8.27 ******.**  1262590.00       0.00       0.00      0.00
231201          0.00   246435.00        0.00   218341.58    28093.42   11.40 ******.**   238515.00       0.00       0.00      0.00
231202          0.00   450170.00        0.00   406429.69    43740.31    9.72 ******.**   450170.00       0.00       0.00      0.00
231204          0.00   630755.00        0.00   577945.28    52809.72    8.37 ******.**   630755.00       0.00       0.00      0.00
231205          0.00  1157920.00        0.00  1086005.88    71914.12    6.21 ******.**  1157920.00       0.00       0.00      0.00
231206          0.00  1147660.00        0.00  1056731.01    90928.99    7.92 ******.**  1147660.00       0.00       0.00      0.00
231207          0.00  1631260.00        0.00  1545761.12    85498.88    5.24 ******.**   853870.00       0.00       0.00      0.00
231208          0.00   575720.00        0.00   526894.97    48825.03    8.48 ******.**   575370.00       0.00       0.00      0.00
231209          0.00   340075.00        0.00   312476.45    27598.55    8.12 ******.**   340075.00       0.00       0.00      0.00
231211          0.00   534100.00        0.00   483487.73    50612.27    9.48 ******.**   534100.00       0.00       0.00      0.00
231212          0.00   390640.00        0.00   356339.77    34300.23    8.78 ******.**   390640.00       0.00       0.00      0.00
231213          0.00   749690.00        0.00   693193.31    56496.70    7.54 ******.**   749690.00       0.00       0.00      0.00
231214          0.00   421625.00        0.00   380820.36    40804.64    9.68 ******.**   406615.00       0.00       0.00      0.00
231215          0.00   615915.00        0.00   556834.44    59080.56    9.59 ******.**   615915.00       0.00       0.00      0.00
231216          0.00   565285.00        0.00   517609.18    47675.82    8.43 ******.**   565285.00       0.00       0.00      0.00
231218          0.00   287350.00        0.00   262391.74    24958.27    8.69 ******.**   287350.00       0.00       0.00      0.00
231219          0.00   697780.00        0.00   643565.50    54214.50    7.77 ******.**   730750.00       0.00       0.00      0.00
231220          0.00   812840.00        0.00   748833.23    64006.77    7.87 ******.**   812840.00       0.00       0.00      0.00
231221          0.00   585240.00        0.00   527708.96    57531.04    9.83 ******.**   585240.00       0.00       0.00      0.00
231222          0.00   787880.00        0.00   727386.54    60493.46    7.68 ******.**   787880.00       0.00       0.00      0.00
231223          0.00   575660.00        0.00   523980.44    51679.56    8.98 ******.**   534840.00       0.00       0.00      0.00
------------------------------------------------------------------------------------------------------------------------------------
STR/TOT        43.10 26985162.80        6.90 24829342.38  2155863.59    7.99 ******.** 26686026.92       0.00       0.00      0.00

------------------------------------------------------------------------------------------------------------------------------------
GRD/TOT        43.10 26985162.80        6.90 24829342.38  2155863.59    7.99 ******.** 26686026.92       0.00       0.00      0.00



                                                        ** End of Report **                                                         
 