Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,,,,
PANNJU AGENCIES COMPANY LIMITED,,,,,,,,,,,,,,,,,,,,,,,
5-Jan-26,,,,,,,,,,,,,,,,,,,,,,,
30-Jun-26,,,,,,,,,,,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,Page 1 of 36,,,,,,,,,,,,,,,
,,,Amount (VAT,,Amount (VAT,,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,Quantity,Cost,Profit,Profit %,Markup %,,,,,,,,,,,,,,,
Linked Account:,,,,,0,,,,,,,,,,,,,,,,,,
1GA001,Switch 1 Gang  Black,PACLINV0038043,,"3,413.79","2,738.46",675.33,19.78,,,,,,,,,,,,,,,,
ADA001,Adaptor Box 100x100x70,PACLINV0057058,,"6,681.04","2,926.55","3,754.49",56.20,,,,,,,,,,,,,,,,
ADA002,Adaptor Box 150x150x70,PACLINV0060672,,"2,655.19","1,908.74",746.45,28.11,,,,,,,,,,,,,,,,
ADA003,Adaptor Box 200x200x80,PACLINV0057706,,"2,758.62","1,989.27",769.35,27.89,,,,,,,,,,,,,,,,
ADA005,Adaptor Box 255x200x80mm,PACLINV0035198,,431.03,291.00,140.03,32.49,,,,,,,,,,,,,,,,
ADA006,Adaptor Box 300x250x120mm,PACLINV0057801,,"15,103.46","10,646.46","4,457.00",29.51,,,,,,,,,,,,,,,,
ALL001,Allan Key Big,PACLINV0060939,,"7,181.01","3,892.54","3,288.47",45.79,,,,,,,,,,,,,,,,
ALL003,Stanley-Alluminium Level12'(300mm)Antichoc,PACLINV0032310,,"3,413.79","3,352.50",61.29,1.80,,,,,,,,,,,,,,,,
ALL004,Stanley-Alluminium Level 24''(600mm) -(b-10),PACLINV0051533,,"3,793.10","3,307.50",485.60,12.80,,,,,,,,,,,,,,,,
ANG001,Angle Brackets,PACLINV0033348,,"1,758.62",905.10,853.52,48.53,,,,,,,,,,,,,,,,
ANG002,Angle Line 11/2x1/4,PACLINV0057134,,"47,952.59","40,018.06","7,934.53",16.55,,,,,,,,,,,,,,,,
ANG003,Angle Line 11/2x1/8,PACLINV0059003,,"96,551.72","75,284.87","21,266.85",22.03,,,,,,,,,,,,,,,,
ANG004,Angle Line 11/2x3/16,PACLINV0056544,,"24,482.76","21,696.03","2,786.73",11.38,,,,,,,,,,,,,,,,
ANG005,Angle Line 1x1/8,PACLINV0060348,,"39,465.51","31,017.06","8,448.45",21.41,,,,,,,,,,,,,,,,
ANG006,Angle Line 2x1/4,PACLINV0044274,,"24,956.90","21,605.61","3,351.29",13.43,,,,,,,,,,,,,,,,
