code,description,qty_out
ADA001,Adaptor Box 100x100x70,29.0
ADA002,Adaptor Box 150x150x70,14.0
ADA003,Adaptor Box 200x200x80,11.0
ADA005,Adaptor Box 255x200x80mm,1.0
ADA006,Adaptor Box 300x250x120mm,14.0
AG1001,AG 1 1L,0.0
ALL001,Allan Key Big,12.0
ALL003,Stanley-Alluminium Level12'(300mm)BAOntMicAhSoc,1.0
ALL004,Stanley-Alluminium Level 24''(600mmB) O-(Mb-A1S0),1.0
ANG001,Angle Brackets,42.0
ANG002,Angle Line 11/2x1/4,26.0
ANG003,Angle Line 11/2x1/8,57.0
ANG004,Angle Line 11/2x3/16,15.0
ANG005,Angle Line 1x1/8,37.5
ANG006,Angle Line 2x1/4,16.0
ANG007,Angle Line 2x1/8,17.0
ANG008,Angle Line 2x3/16,10.0
ANG009,Angle Line 3/4x1/8,11.0
ANG011,Angle Valve 1/2turn,190.0
ANG012,Angle Valve 2way,9.0
ANG014,Angle Valve 1/2turn lirlee,35.0
AQU001,C/S/G Aqua Gloss Deep 4l,0.0
ARA001,Lirlee Arabic Shower-LR9202,20.0
ARA003,Araldite Glue,18.0
ART001,Artist Brush Pkts,6.0
ASI002,Asian Toilet,0.0
AUT001,Automatic Voltage Regulator,0.0
AXE001,Axe 2.5LB,0.0
AXE003,Axe 3.5LB,7.0
AXE004,Axe 3LB,5.0
BAL004,Ball Cork 1,6.0
BAL005,Ball Cork 1/2,0.0
BAL010,Ball Fitting Bulb,4.0
BAL011,Ball Valve 1 Pegler,9.0
BAL012,Ball Valve 1/2 Pegler,9.0
BAL013,Ball Valve 11/2 pegler,0.0
BAL014,Ball Valve 3/4 Pegler,39.0
BAL015,Ballast Dust Tonnes,66.0
BAL016,Ballast Dust Truck,2.0
BAL017,Ballast Dust Wheelbarrow,0.0
BAL018,Ballast Mchele Tonnes,1.0
BAL020,Ballast Mchele Wheelbarrow,12.0
BAL022,Ballast Truck,2.0
BAL024,Ball Valve 11/4 pegler,2.0
BAL025,Ball Cork 3/4,20.0
BAL026,Ball Valve 3/4-Lirlee,1.0
BAM001,Bamburi Fundi,1.0
BAM002,Bamburi Nguvu,738.0
BAM004,Bamburi Powermax,310.0
BAM005,Bamburi Tembo,16902.0
BAR001,Barbed Wire 480m,6.0
BAR002,Barbed Wire 610m,10.0
BAR003,Barbed Wire 610m-Tej,17.0
BAS003,Basco Primer Grey 1l,11.0
BAS004,Basco Primer Grey 4l,10.0
BAS005,Basco Red Oxide 1l,0.0
BAS006,Basco Red Oxide 4l,0.0
BAS007,Basco Sanding Sealer 1l,1.0
BAS008,Basco Sanding Sealer 4l,0.0
BAS009,Basco Silver Almn 1l,5.0
BAS010,Basco Silver Almn 4l,0.0
BAS011,Base Aquagloss 1 4l,1.0
BAS012,Base Aquagloss 2 1l,0.0
BAS013,Base Aquagloss 2 4l,0.0
BAS017,Base Sg Red 1l,0.0
BAS018,Base Sg Red 4l,1.0
BAS019,Base Sg1 1l,10.0
BAS020,Base Sg1 4l,12.0
BAS021,Base Sg2 1l,2.0
BAS022,Base Sg2 4l,7.0
BAS023,Base Sg3 1l,0.0
BAS024,Base Sg3 4l,1.0
BAS025,Base Sg4 1l,3.0
BAS026,Base Sg4 4l,3.0
BAS027,Base Sg5 1l,9.0
BAS028,Base Sg5 4l,2.0
BAS029,Base Sg6 1l,1.0
BAS030,Base Sg6 4l,0.0
BAS031,Base Sgylw 1l,3.0
BAS032,Base Sgylw 4l,5.0
BAS033,Base Silicon 1 Ext 4l,4.0
BAS034,Base Silicon 2 Ext 4l,0.0
BAS035,Base Silicon Ext 1 1l,0.0
BAS036,Base Silicon Ext 2 1l,0.0
BAS037,Base Silicon Ext 3 1l,2.0
BAS039,Base Vm Yox 1l,0.0
BAS041,Base Vm1 1l,53.0
BAS042,Base Vm1 20l,2.0
BAS043,Base Vm1 4l,13.0
BAS044,Base Vm2 1l,0.0
BAS046,Base Vm2 4l,2.0
BAS047,Base Vm3 1l,1.0
BAS048,Base Vm3 4l,2.0
BAS049,Base Vm4 1l,4.0
BAS050,Base Vm4 4l,1.0
BAS051,Base Vm5 1l,2.0
BAS052,Base Vm5 4l,0.0
BAS053,Base Vmylw 1l,1.0
BAS054,Base Vmylw 4l,0.0
BAS055,Base Vs1 1l,13.0
