code,description,qty_out
ADA001,Adaptor Box 100x100x70,3.0
ADA003,Adaptor Box 200x200x80,3.0
ADA006,Adaptor Box 300x250x120mm,1.0
ALL001,Allan Key Big,2.0
ANG002,Angle Line 11/2x1/4,8.0
ANG005,Angle Line 1x1/8,3.5
ANG006,Angle Line 2x1/4,1.0
ANG008,Angle Line 2x3/16,4.0
ANG009,Angle Line 3/4x1/8,7.0
ANG011,Angle Valve 1/2turn,52.0
ANG012,Angle Valve 2way,1.0
ANG014,Angle Valve 1/2turn lirlee,10.0
ARA001,Lirlee Arabic Shower-LR9202,9.0
ARA003,Araldite Glue,8.0
ART001,Artist Brush Pkts,3.0
AXE001,Axe 2.5LB,0.0
AXE003,Axe 3.5LB,3.0
AXE004,Axe 3LB,1.0
BAL011,Ball Valve 1 Pegler,3.0
BAL012,Ball Valve 1/2 Pegler,3.0
BAL014,Ball Valve 3/4 Pegler,10.0
BAL018,Ballast Mchele Tonnes,1.0
BAL025,Ball Cork 3/4,4.0
BAM002,Bamburi Nguvu,163.0
BAM004,Bamburi Powermax,60.0
BAM005,Bamburi Tembo,2970.0
BAR001,Barbed Wire 480m,1.0
BAR002,Barbed Wire 610m,1.0
BAS003,Basco Primer Grey 1l,0.0
BAS004,Basco Primer Grey 4l,3.0
BAS009,Basco Silver Almn 1l,1.0
BAS012,Base Aquagloss 2 1l,0.0
BAS020,Base Sg1 4l,4.0
BAS021,Base Sg2 1l,2.0
BAS022,Base Sg2 4l,1.0
BAS025,Base Sg4 1l,2.0
BAS027,Base Sg5 1l,4.0
BAS028,Base Sg5 4l,2.0
BAS032,Base Sgylw 4l,2.0
BAS033,Base Silicon 1 Ext 4l,2.0
BAS037,Base Silicon Ext 3 1l,1.0
BAS041,Base Vm1 1l,43.0
BAS043,Base Vm1 4l,4.0
BAS046,Base Vm2 4l,1.0
BAS047,Base Vm3 1l,1.0
BAS048,Base Vm3 4l,2.0
BAS049,Base Vm4 1l,2.0
BAS050,Base Vm4 4l,1.0
BAS055,Base Vs1 1l,2.0
BAS056,Base Vs1 20l,2.0
BAS057,Base Vs1 4l,13.0
BAS058,Base Vs2 1l,1.0
BAS061,Base Vs3 4l,3.0
BAS064,Base Vs4 4l,1.0
BAS077,Basin Screw Big,3.0
BAS078,Base Silicon Ext3 -20 L,2.0
BED003,Bed Bolts 5,14.0
BED004,Bed Bolts 6,4.0
BIN001,Binding Wire 1kg,52.0
BIN005,Binding Wire 15KG,280.0
BLA001,Black Oxide,10.0
BLA009,Black Sheet 8x4x14g,2.0
BLA010,Black Sheet 8x4x16g,8.0
BLA011,Black Sheet 8x4x18g(0.8mm),6.0
BLA016,Blanking Cover Double,6.0
BLA017,Blanking Cover Single,5.0
BLA019,BLACKSHEET 8X4X3MM,1.0
BLO001,Blockboard 1,6.0
BLO002,Blockboard 3/4,1.0
BOD007,Bodyfiller 1/2kg,2.0
BOD008,Bodyfiller 1kg,4.0
BOD009,Body filler 2.5kg,7.0
BOD010,Bodyfiller 4.5kg neo,5.0
BOL004,Bolt & Nut 10x3,1.0
BOL012,Bolt & Nut No 22,9.0
BOS001,Boss White 200g,4.0
BOS002,Boss White 400g,5.0
BOS003,Bosch cutting Slim 4,30.0
BOS004,Bosch Grinding 7,3.0
BOS005,Bosch Grinding 4,4.0
BOS006,Bosch Grinding 9,2.0
BOS010,Bosch Circular Saw Blade 9 40T,1.0
BOS011,Bosch Circular Saw Blade 9 60T,1.0
BOS016,Bosch Cutting Diamond 4,4.0
BOS022,Bosch Drill Bit 3mm,1.0
BOS035,Bosch Accessory Set,3.0
BOS036,Bosch Cordless Impact Drill,1.0
BOS038,Bosch Angle Grinder small- OLO,2.0
BOS039,Bosch Angle Grinder Big -OPO,1.0
BOS041,Bosch Jigsaw,1.0
BOS047,Bosch Laser Tape Measure S00,1.0
BOS049,Bosch Laser Level 320,1.0
BOS050,Bosch Screw Driver bit-2608521042,1.0
BOS052,Bosch Cordless Screw Driver Go kit,1.0
BOT007,"Magic Connector Plastic 11/2""",8.0
BOT010,Bottle Trap Viega 1 1/4,2.0
BOT011,Bottle Trap Viega 11/2,16.0
BRA001,Construction Net Mtrs,0.0
BRC003,Brc A142 Std,13.0
BRC004,Brc A66,1.0
BRC005,Brc A98 Std,9.0
BRO001,Broom/Rake Handles,5.0
BRU001,Brush Fixtec 1,25.0
BRU002,Brush Fixtec 2,33.0
BRU003,Brush Fixtec 3,22.0
BRU004,Brush Fixtec 4,62.0
BRU005,Brush Fixtec 6,63.0
BRU007,Brush Premium 2,21.0
BRU009,Brush Premium 3,17.0
BRU010,Brush Premium 4,39.0
BRU011,Brush Premium 5,3.0
BRU012,Brush Premium 6,48.0
BRU013,Brush Fixtec 5,11.0
BRU014,"Brush Premium 2.5""",2.0
BUC001,Buckets,87.0
BUL001,Bulb Energy Saver Pin 7w,2.0
BUL002,Bulb Energy Saver Pin 9w,12.0
BUL003,Bulb Energy Saver Screw 7w,5.0
BUL004,Bulb Eneryg Saver Screw 9w,15.0
BUL007,Bulb Holder Angle,1.0
BUL008,Bulb Holder Ceiling Rose,4.0
BUL009,Bulb Holder Pin,2.0
BUL010,Bulb Holder Screw,6.0
BUS002,"Bush JK 1/2""",50.0
BUS003,"Bush JK 11/2""",0.0
BUS005,"Bush JK 3/4""",0.0
BUS009,Bush Ball 1x4,2.0
BUS010,Bush Ball 3/4x4,16.0
BUS015,Bush Smooth 1,2.0
BUS016,Bush Smooth 11/2,7.0
BUS017,Bush Smooth 11/4,0.0
BUS018,Bush Smooth 3/4,2.0
BUS019,Bush smooth 1/2,18.0
BUT005,Butterfly Bush 3/4,0.0
BUT006,"Butterfly Bush 1"" imported",63.0
BUT007,"Butterfly Bush 3/4"" imported",22.0
C/ 004,C/ Transeal 1l,4.0
C/ 005,C/ Transeal 4l,8.0
C/E001,C/S/G Aqua Glow Accent 4l,1.0
C/E004,C/E Covermatt White 1l,15.0
C/E005,C/E Covermatt White 20l,80.0
C/E006,C/E Covermatt White 4l,54.0
C/E007,C/E Matt Accent Base 1l,5.0
C/E008,C/E Matt Accent Base 20l,3.0
C/E009,C/E Matt Accent Base 4l,2.0
C/E012,C/E Matt Black 1l,1.0
C/E014,C/E Matt Black 4l,1.0
C/E018,C/E Matt Pastel Base 1l,7.0
C/E019,C/E Matt Pastel Base 20l,12.0
C/E020,C/E Matt Pastel Base 4l,28.0
C/E025,C/E Silicon Accent Base 1l,5.0
C/E026,C/E Silicon Accent Base 20l,4.0
C/E027,C/E Silicon Accent Base 4l,16.0
C/E028,C/E Silicon B/White 1l,2.0
C/E029,C/E Silicon B/White 20l,5.0
C/E030,C/E Silicon B/White 4l,5.0
C/E031,C/E Silicon Black 1l,6.0
C/E032,C/E Silicon Black 4l,1.0
C/E033,C/E Silicon Deep Base 1l,6.0
C/E034,C/E Silicon Deep Base 20l,3.0
C/E035,C/E Silicon Deep Base 4l,4.0
C/E036,C/E Silicon Pastel Base 1l,7.0
C/E037,C/E Silicon Pastel Base 20l,17.0
C/E038,C/E Silicon Pastel Base 4l,23.0
C/E040,C/E Silk Accent Base 1l,5.0
C/E041,C/E Silk Accent Base 20l,1.0
C/E042,C/E Silk Accent Base 4l,6.0
C/E043,C/E Silk Brill White 20l,6.0
C/E044,C/E Silk Deep Base 1l,6.0
C/E046,C/E Silk Deep Base 4l,9.0
C/E047,C/E Silk Pastel Base 1l,20.0
C/E048,C/E Silk Pastel Base 20l,12.0
C/E049,C/E Silk Pastel Base 4l,50.0
C/S002,C/S/G Accent Base 4l,16.0
C/S003,C/S/G Accent Base 1l,17.0
C/S009,C/S/G Black 1l,15.0
C/S010,C/S/G Black BITUMINOUS 4l,1.0
C/S012,C/S/G C/Varnish H/G 1l,3.0
C/S013,C/S/G C/Varnish H/G 4l,10.0
C/S014,C/S/G Clear Varnish Matt 1l,2.0
C/S016,C/S/G Clear Varnish Nc 4l,3.0
C/S017,C/S/G Deep Base 1l,2.0
C/S018,C/S/G Deep Base 4l,6.0
C/S020,C/S/G Eggshell Accent Base 1l,5.0
C/S021,C/S/G Eggshell Accent Base 4l,31.0
C/S022,C/S/G Eggshell Black 1l,1.0
C/S023,C/S/G Eggshell Black 4l,1.0
C/S025,C/S/G Eggshell Deep Base 4l,3.0
C/S027,C/S/G Eggshell Pastel 4l,13.0
C/S029,C/S/G Floor Paint Red Oxide 1l,1.0
C/S031,C/S/G Floor Paint Red Oxide 4L,1.0
C/S037,C/S/G Clear Varnish Matt 4l,0.0
C/S038,C/S/G Matt Finish Black 1l,2.0
C/S039,C/S/G Matt Finish Black 4l,0.0
C/S044,C/S/G Nc Clear Lacquer 4l,0.0
C/S046,C/S/G Pastel Base 1l,16.0
C/S047,C/S/G Pastel Base 4l,64.0
C/S048,C/S/G Roadline White 4l,2.0
C/S050,C/S/G Roadline Yellow 4l,1.0
C/S057,C/S/G Roofmaster Clear Base,26.0
C/S058,C/S/G Ruff & Tuff 30l-Normal,92.0
C/S061,C/S/G Sanding Sealer 1l,11.0
C/S062,C/S/G Sanding Sealer 4l,22.0
C/S068,C/S/G Thinner For Roadline 5L,5.0
C/S069,C/S/G Twopack Thinner 1l,1.0
C/S070,C/S/G Twopack Thinner 5l,6.0
C/S071,C/S/G Twopack V/Gloss 1l,2.0
C/S072,C/S/G Twopack V/Gloss 4l,10.0
C/S075,C/S/G Undercoat 1l,8.0
C/S076,C/S/G Undercoat 4l,12.0
C/S077,C/S/G Varnish Mahogany 1L,3.0
C/S079,C/S/G Vesta Black 4l,1.0
C/S080,C/S/G Vesta Floor Red 4l,1.0
C/S081,C/S/G Vesta Grey Oxide 1l-primer,14.0
C/S083,C/S/G Vesta Red Oxide 1l,1.0
