code,description,avg_monthly_q1,april_qty,old_moq,new_moq
ADA001,Adaptor Box 100x100x70,8.666666666666666,3.0,2.1666666666666665,2.1666666666666665
ADA002,Adaptor Box 150x150x70,4.666666666666667,0.0,1.1666666666666667,1.1666666666666667
ADA003,Adaptor Box 200x200x80,2.6666666666666665,3.0,0.6666666666666666,0.75
ADA005,Adaptor Box 255x200x80mm,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
ADA006,Adaptor Box 300x250x120mm,4.333333333333333,1.0,1.0833333333333333,1.0833333333333333
AG1001,AG 1 1L,0.0,0.0,0.0,0.0
ALL001,Allan Key Big,3.3333333333333335,2.0,0.8333333333333334,0.8333333333333334
ALL003,Stanley-Alluminium Level12'(300mm)BAOntMicAhSoc,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
ALL004,Stanley-Alluminium Level 24''(600mmB) O-(Mb-A1S0),0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
ANG001,Angle Brackets,14.0,0.0,3.5,3.5
ANG002,Angle Line 11/2x1/4,6.0,8.0,1.5,2.0
ANG003,Angle Line 11/2x1/8,19.0,0.0,4.75,4.75
ANG004,Angle Line 11/2x3/16,5.0,0.0,1.25,1.25
ANG005,Angle Line 1x1/8,11.333333333333334,3.5,2.8333333333333335,2.8333333333333335
ANG006,Angle Line 2x1/4,5.0,1.0,1.25,1.25
ANG007,Angle Line 2x1/8,5.666666666666667,0.0,1.4166666666666667,1.4166666666666667
ANG008,Angle Line 2x3/16,2.0,4.0,0.5,1.0
ANG009,Angle Line 3/4x1/8,1.3333333333333333,7.0,0.3333333333333333,1.75
ANG011,Angle Valve 1/2turn,46.0,52.0,11.5,13.0
ANG012,Angle Valve 2way,2.6666666666666665,1.0,0.6666666666666666,0.6666666666666666
ANG014,Angle Valve 1/2turn lirlee,8.333333333333334,10.0,2.0833333333333335,2.5
AQU001,C/S/G Aqua Gloss Deep 4l,0.0,0.0,0.0,0.0
ARA001,Lirlee Arabic Shower-LR9202,3.6666666666666665,9.0,0.9166666666666665,2.25
ARA003,Araldite Glue,3.3333333333333335,8.0,0.8333333333333334,2.0
ART001,Artist Brush Pkts,1.0,3.0,0.25,0.75
ASI002,Asian Toilet,0.0,0.0,0.0,0.0
AUT001,Automatic Voltage Regulator,0.0,0.0,0.0,0.0
AXE001,Axe 2.5LB,0.0,0.0,0.0,0.0
AXE003,Axe 3.5LB,1.3333333333333333,3.0,0.3333333333333333,0.75
AXE004,Axe 3LB,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
BAL004,Ball Cork 1,2.0,0.0,0.5,0.5
BAL005,Ball Cork 1/2,0.0,0.0,0.0,0.0
BAL010,Ball Fitting Bulb,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
BAL011,Ball Valve 1 Pegler,2.0,3.0,0.5,0.75
BAL012,Ball Valve 1/2 Pegler,2.0,3.0,0.5,0.75
BAL013,Ball Valve 11/2 pegler,0.0,0.0,0.0,0.0
BAL014,Ball Valve 3/4 Pegler,9.666666666666666,10.0,2.4166666666666665,2.5
BAL015,Ballast Dust Tonnes,22.0,0.0,5.5,5.5
BAL016,Ballast Dust Truck,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
BAL017,Ballast Dust Wheelbarrow,0.0,0.0,0.0,0.0
BAL018,Ballast Mchele Tonnes,0.0,1.0,0.0,0.25
BAL020,Ballast Mchele Wheelbarrow,4.0,0.0,1.0,1.0
BAL022,Ballast Truck,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
BAL024,Ball Valve 11/4 pegler,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
BAL025,Ball Cork 3/4,5.333333333333333,4.0,1.3333333333333333,1.3333333333333333
BAL026,Ball Valve 3/4-Lirlee,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
BAM001,Bamburi Fundi,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
BAM002,Bamburi Nguvu,191.66666666666666,163.0,47.916666666666664,47.916666666666664
BAM004,Bamburi Powermax,83.33333333333333,60.0,20.833333333333332,20.833333333333332
BAM005,Bamburi Tembo,4644.0,2970.0,1161.0,1161.0
BAR001,Barbed Wire 480m,1.6666666666666667,1.0,0.4166666666666667,0.4166666666666667
BAR002,Barbed Wire 610m,3.0,1.0,0.75,0.75
BAR003,Barbed Wire 610m-Tej,5.666666666666667,0.0,1.4166666666666667,1.4166666666666667
BAS003,Basco Primer Grey 1l,3.6666666666666665,0.0,0.9166666666666665,0.9166666666666665
BAS004,Basco Primer Grey 4l,2.3333333333333335,3.0,0.5833333333333334,0.75
BAS005,Basco Red Oxide 1l,0.0,0.0,0.0,0.0
BAS006,Basco Red Oxide 4l,0.0,0.0,0.0,0.0
BAS007,Basco Sanding Sealer 1l,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
BAS008,Basco Sanding Sealer 4l,0.0,0.0,0.0,0.0
BAS009,Basco Silver Almn 1l,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
BAS010,Basco Silver Almn 4l,0.0,0.0,0.0,0.0
BAS011,Base Aquagloss 1 4l,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
BAS012,Base Aquagloss 2 1l,0.0,0.0,0.0,0.0
BAS013,Base Aquagloss 2 4l,0.0,0.0,0.0,0.0
BAS017,Base Sg Red 1l,0.0,0.0,0.0,0.0
BAS018,Base Sg Red 4l,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
BAS019,Base Sg1 1l,3.3333333333333335,0.0,0.8333333333333334,0.8333333333333334
BAS020,Base Sg1 4l,2.6666666666666665,4.0,0.6666666666666666,1.0
BAS021,Base Sg2 1l,0.0,2.0,0.0,0.5
BAS022,Base Sg2 4l,2.0,1.0,0.5,0.5
BAS023,Base Sg3 1l,0.0,0.0,0.0,0.0
BAS024,Base Sg3 4l,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
BAS025,Base Sg4 1l,0.3333333333333333,2.0,0.08333333333333333,0.5
BAS026,Base Sg4 4l,1.0,0.0,0.25,0.25
BAS027,Base Sg5 1l,1.6666666666666667,4.0,0.4166666666666667,1.0
BAS028,Base Sg5 4l,0.0,2.0,0.0,0.5
BAS029,Base Sg6 1l,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
BAS030,Base Sg6 4l,0.0,0.0,0.0,0.0
BAS031,Base Sgylw 1l,1.0,0.0,0.25,0.25
BAS032,Base Sgylw 4l,1.0,2.0,0.25,0.5
BAS033,Base Silicon 1 Ext 4l,0.6666666666666666,2.0,0.16666666666666666,0.5
BAS034,Base Silicon 2 Ext 4l,0.0,0.0,0.0,0.0
BAS035,Base Silicon Ext 1 1l,0.0,0.0,0.0,0.0
BAS036,Base Silicon Ext 2 1l,0.0,0.0,0.0,0.0
BAS037,Base Silicon Ext 3 1l,0.3333333333333333,1.0,0.08333333333333333,0.25
BAS039,Base Vm Yox 1l,0.0,0.0,0.0,0.0
BAS041,Base Vm1 1l,3.3333333333333335,43.0,0.8333333333333334,10.75
BAS042,Base Vm1 20l,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
BAS043,Base Vm1 4l,3.0,4.0,0.75,1.0
BAS044,Base Vm2 1l,0.0,0.0,0.0,0.0
BAS046,Base Vm2 4l,0.3333333333333333,1.0,0.08333333333333333,0.25
BAS047,Base Vm3 1l,0.0,1.0,0.0,0.25
BAS048,Base Vm3 4l,0.0,2.0,0.0,0.5
BAS049,Base Vm4 1l,0.6666666666666666,2.0,0.16666666666666666,0.5
BAS050,Base Vm4 4l,0.0,1.0,0.0,0.25
BAS051,Base Vm5 1l,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
BAS052,Base Vm5 4l,0.0,0.0,0.0,0.0
BAS053,Base Vmylw 1l,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
BAS054,Base Vmylw 4l,0.0,0.0,0.0,0.0
BAS055,Base Vs1 1l,3.6666666666666665,2.0,0.9166666666666665,0.9166666666666665
BAS056,Base Vs1 20l,2.0,2.0,0.5,0.5
