code,description,qty_out
ADA001,Adaptor Box 100x100x70,1.0
ADA002,Adaptor Box 150x150x70,1.0
ADA003,Adaptor Box 200x200x80,3.0
ADA005,Adaptor Box 255x200x80mm,2.0
ADA006,Adaptor Box 300x250x120mm,0.0
ANG001,Angle Brackets,0.0
ANG002,Angle Line 11/2x1/4,0.0
ANG003,Angle Line 11/2x1/8,2.0
ANG005,Angle Line 1x1/8,2.0
ANG007,Angle Line 2x1/8,3.0
ANG011,Angle Valve 1/2turn,6.0
ANG014,Angle Valve 1/2turn lirlee,2.0
ARA003,Araldite Glue,6.0
ART003,Artist Brush Pcs,1.0
AXE003,Axe 3.5LB,1.0
BAL005,Ball Cork 1/2,0.0
BAL010,Ball Fitting Bulb,0.0
BAL011,Ball Valve 1 Pegler,4.0
BAL012,Ball Valve 1/2 Pegler,1.0
BAL014,Ball Valve 3/4 Pegler,1.0
BAL025,Ball Cork 3/4,3.0
BAM004,Bamburi Powermax,30.0
BAM005,Bamburi Tembo,2257.0
BAR001,Barbed Wire 480m,6.0
BAR002,Barbed Wire 610m,8.0
BAS070,Basin Screw Small,0.0
BAS077,Basin Screw Big,0.0
BED003,Bed Bolts 5,1.0
BED004,Bed Bolts 6,2.0
BIN001,Binding Wire 1kg,20.0
BIN005,Binding Wire 15KG,282.0
BLA010,Black Sheet 8x4x16g,2.0
BLA011,Black Sheet 8x4x18g(0.8mm),6.0
BLA016,Blanking Cover Double,4.0
BLA017,Blanking Cover Single,0.0
BLO002,Blockboard 3/4,1.0
BOD007,Bodyfiller 1/2kg,1.0
BOD008,Bodyfiller 1kg,1.0
BOD009,Body filler 2.5kg,2.0
BOD010,Bodyfiller 4.5kg neo,1.0
BOS001,Boss White 200g,1.0
BOS002,Boss White 400g,2.0
BOT007,"Magic Connector Plastic 11/2""",1.0
BOT009,"Magic Connector Plastic 11/4""",2.0
BOT010,Bottle Trap Viega 1 1/4,2.0
BOT011,Bottle Trap Viega 11/2,1.0
BRA001,Construction Net Mtrs,21.0
BRC003,Brc A142 Std,14.0
BRC005,Brc A98 Std,6.0
BRO001,Broom/Rake Handles,23.0
BRU001,Brush Fixtec 1,4.0
BRU002,Brush Fixtec 2,4.0
BRU004,Brush Fixtec 4,20.0
BRU005,Brush Fixtec 6,12.0
BRU006,Brush Premium 1,1.0
BRU007,Brush Premium 2,22.0
BRU009,Brush Premium 3,14.0
BRU010,Brush Premium 4,11.0
BRU011,Brush Premium 5,10.0
BRU012,Brush Premium 6,21.0
BRU013,Brush Fixtec 5,0.0
BUC001,Buckets,66.0
BUL001,Bulb Energy Saver Pin 7w,8.0
BUL003,Bulb Energy Saver Screw 7w,15.0
BUL013,Bulbs 40w,0.0
BUS001,"Bush JK 1""",4.0
BUS002,"Bush JK 1/2""",2.0
BUS005,"Bush JK 3/4""",3.0
BUS008,Bush Ball 11/4x4,10.0
BUS009,Bush Ball 1x4,12.0
BUS010,Bush Ball 3/4x4,4.0
BUS015,Bush Smooth 1,4.0
BUS017,Bush Smooth 11/4,6.0
BUS018,Bush Smooth 3/4,4.0
BUT006,"Butterfly Bush 1"" imported",62.0
BUT007,"Butterfly Bush 3/4"" imported",71.0
C/ 004,C/ Transeal 1l,1.0
C/ 005,C/ Transeal 4l,5.0
C/ 006,C/ Varnish Stain Mah 1l,3.0
C/E004,C/E Covermatt White 1l,6.0
C/E005,C/E Covermatt White 20l,51.0
C/E006,C/E Covermatt White 4l,15.0
C/E007,C/E Matt Accent Base 1l,1.0
C/E009,C/E Matt Accent Base 4l,1.0
C/E014,C/E Matt Black 4l,3.0
C/E017,C/E Matt Deep Base 4l,1.0
C/E018,C/E Matt Pastel Base 1l,4.0
C/E019,C/E Matt Pastel Base 20l,5.0
C/E020,C/E Matt Pastel Base 4l,7.0
C/E025,C/E Silicon Accent Base 1l,6.0
C/E027,C/E Silicon Accent Base 4l,7.0
C/E032,C/E Silicon Black 4l,1.0
C/E033,C/E Silicon Deep Base 1l,0.0
C/E034,C/E Silicon Deep Base 20l,4.0
C/E036,C/E Silicon Pastel Base 1l,2.0
C/E037,C/E Silicon Pastel Base 20l,8.0
C/E038,C/E Silicon Pastel Base 4l,6.0
C/E040,C/E Silk Accent Base 1l,8.0
C/E042,C/E Silk Accent Base 4l,1.0
C/E044,C/E Silk Deep Base 1l,7.0
C/E045,C/E Silk Deep Base 20l,1.0
C/E046,C/E Silk Deep Base 4l,9.0
C/E047,C/E Silk Pastel Base 1l,20.0
C/E048,C/E Silk Pastel Base 20l,24.0
C/E049,C/E Silk Pastel Base 4l,36.0
C/S002,C/S/G Accent Base 4l,2.0
C/S003,C/S/G Accent Base 1l,6.0
C/S009,C/S/G Black 1l,1.0
C/S012,C/S/G C/Varnish H/G 1l,2.0
C/S013,C/S/G C/Varnish H/G 4l,15.0
C/S014,C/S/G Clear Varnish Matt 1l,1.0
C/S016,C/S/G Clear Varnish Nc 4l,1.0
C/S017,C/S/G Deep Base 1l,4.0
C/S018,C/S/G Deep Base 4l,4.0
C/S021,C/S/G Eggshell Accent Base 4l,1.0
C/S023,C/S/G Eggshell Black 4l,3.0
C/S027,C/S/G Eggshell Pastel 4l,1.0
C/S037,C/S/G Clear Varnish Matt 4l,6.0
C/S038,C/S/G Matt Finish Black 1l,3.0
C/S039,C/S/G Matt Finish Black 4l,1.0
C/S041,C/S/G Mulipurpose Varnish 1,3.0
C/S046,C/S/G Pastel Base 1l,3.0
C/S047,C/S/G Pastel Base 4l,14.0
C/S050,C/S/G Roadline Yellow 4l,2.0
C/S058,C/S/G Ruff & Tuff 30l-Normal,6.0
C/S061,C/S/G Sanding Sealer 1l,8.0
C/S062,C/S/G Sanding Sealer 4l,34.0
C/S071,C/S/G Twopack V/Gloss 1l,1.0
C/S072,C/S/G Twopack V/Gloss 4l,1.0
C/S075,C/S/G Undercoat 1l,3.0
C/S076,C/S/G Undercoat 4l,14.0
C/S077,C/S/G Varnish Mahogany 1L,1.0
C/S081,C/S/G Vesta Grey Oxide 1l-primer,1.0
C/S084,C/S/G Vesta Red Oxide 4l,2.0
C/S087,C/S/G Vesta White 4l,1.0
CAB002,Cable Clips 12mm,2.0
CAB003,Cable Clips 9mm,4.0
CAB005,Cable Clips Round 10mm,1.0
CAB006,Cable Ties 10,1.0
CAB007,Cable Ties 12,0.0
CAB008,Cable Ties 14,3.0
CAB009,Cable Ties 6,1.0
CAB011,Cable Ties Pcs,17.0
CAB014,Cable Clips 8mm,0.0
CAR004,Carpet Brush,6.0
CEI002,Ceiling Board Plain,4.0
CEM001,Cement In Kgs,99.0
CEN001,Center Stopper,10.0
CEV002,C/S/G Vesta Primer Grey Oxide 4l,19.0
CHA001,Chain 1/4,2.0
CHA002,Chain 3/16,2.0
CHA005,Chain Link 4ft,3.0
CHA006,Chain Link 5ft,12.0
CHA007,Chain Link 6ft,1.0
CHA008,Chain Link 7ft,1.0
CHA009,Chain Link 8ft,6.0
CHA014,Chalk pcs,244.0
CHA016,Chalk Carton,9.0
CHI004,Chicken Wire Roll 1/2x30,18.0
CHI009,Chisel 3/4,0.0
CIR002,Circular Blade 4.5,1.0
CIR003,Circular Blade 7,4.0
CIR004,Circular Blade 9,1.0
CIR007,Circular Box 3way 20mm,10.0
CIR009,Circular Box 4way 20mm,284.0
CIR010,Circular Box 4way 25mm,67.0
CIR011,Circular Box 1 way 20MM,3.0
CIS006,Cistern Top Flush,2.0
CLA001,Claw Bar 4ft,6.0
CLA002,Claw Bar 5ft,1.0
CLE001,Cleanox 1l,1.0
CLE004,Clear Tape Big,6.0
CLO001,Close Couple Ball Valve,0.0
COA001,Coast Calcium,13.0
COF001,Coffee Tray Roll,1.0
COF002,Coffee Tray Mtrs,15.0
COM001,Complete Hinges 1,0.0
CON004,Conduit 38mm,4.0
CON006,Conduit Metro 20mm,651.0
CON007,Conduit Metro 25mm,293.0
CON008,Conduit Metro 32mm,16.0
CON010,Conduit Metro 50mm,13.0
CON012,Construction Net,6.0
CON013,Consumer Unit 10way,0.0
CON015,Consumer Unit 4way,1.0
CON021,Conta 1/2kg,3.0
CON022,Conta 1/4kg,3.0
CON023,Conta 100ml,4.0
CON024,Conta 1kg,4.0
CON025,Conta 4kg,5.0
CON026,Conta 50ml,5.0
CON028,Consumer Unit 12way,0.0
COR004,Corner Strip Aluminium,0.0
COR007,Corner Strip L Shaped,164.0
COR008,Corner Strip Plastic White,1.0
COR010,Gypsum Corner Tape,20.0
COR011,Cornace Super Fix 5kg,0.0
COU001,Counter Sunk Screw 1,7.0
COU002,Counter Sunk Screw 1.5,1.0
COU009,Couplers 20mm,2470.0
COU010,Couplers 25mm,500.0
COU011,Couplers 32mm,65.0
COU012,Couplers 38mm,10.0
COU013,Couplers 50mm,14.0
CRO001,Crown Colorant B,4.0
CRO002,Crown Colorant C,1.0
CRO003,Crown Colorant D,1.0
CRO008,Crown Colorant M/Yellow- T,0.0
CRO013,Crown Colorant V,0.0
CRO016,Crown Colorant Yellow Axx,0.0
CRO024,Crown Wallputty 25kg,290.0
CRO025,Crown Wallputty 1kg,8.0
CSG004,C/S/G Varnish Mahogany 4L,1.0
CSG005,C/S/G Black 4l,4.0
CSG007,C/S/G Zinc phophate Grey 4 l,2.0
CSG009,C/S/G Ruff & Tuff 30l-White Base,3.0
CUT001,Cut Out Double,5.0
CUT002,Cut Out Single,9.0
CUT006,Cutting Disk Diamond 4,24.0
CUT007,Cutting Disk Diamond 7,4.0
CUT008,Cutting Disk Diamond 9,16.0
CUT010,Grinding Disk 7.,51.0
CUT011,Cutting Disk Metal 9,36.0
CUT012,Cutting Disk Slim 4,50.0
CUT013,Cutting Disk Slim 9,261.0
CUT015,Cutting Disk Metal 7,2.0
CYP001,Syphone,2.0
CYP003,Syphon Top Flush,0.0
D 1001,D 10,6820.0
D 1002,D 12,2530.0
D 1003,D 16,1284.0
D 2001,D 20,158.0
D 2002,D 25,113.0
D 3001,D 32,17.0
D 8001,D 8,6089.0
D/E008,D/E Sf Brill White 20l,10.0
D/E009,D/E Sf Brill White 4l,4.0
D/E012,D/E Silk S/White 4l,1.0
D/G003,D/G Black 4l,1.0
D16003,D 16-Kifaru,229.0
DAM001,Variance/DG Goods Sold,0.0
DOO002,Door Bell Switch,7.0
DOV001,Dovetail Tank 1000l Rect,0.0
DOV007,Dovetail Tank 10000l,0.0
DOV008,Dovetail Tank 1000l,2.0
DOV011,Dovetail Tank 3000l,0.0
DOV012,Dovetail Tank 5000l,1.0
DOW001,Down Stoppers,165.0
DPC001,Dpc,13.0
DR 004,Dr Fixit Pidiproof 1l,8.0
DR 005,Dr Fixit Pidiproof 20l,4.0
DR 007,Dr Fixit Superlatex 1l,0.0
DR 012,Dr Fixit Waterproof Powder,765.0
