code,description,qty_out
ADA001,Adaptor Box 100x100x70,2.0
ADA002,Adaptor Box 150x150x70,6.0
ADA003,Adaptor Box 200x200x80,6.0
ADA005,Adaptor Box 255x200x80mm,2.0
ADA006,Adaptor Box 300x250x120mm,4.0
ADJ001,Adjustable Screw Spanner,2.0
ALL001,Allan Key Big,2.0
ALL002,Allan Key Pcs,1.0
ALL004,Stanley-Alluminium Level 24''(600mmK) A-(RbE-1N0),3.0
ANG001,Angle Brackets,4.0
ANG002,Angle Line 11/2x1/4,9.0
ANG003,Angle Line 11/2x1/8,14.0
ANG005,Angle Line 1x1/8,11.0
ANG006,Angle Line 2x1/4,6.0
ANG007,Angle Line 2x1/8,17.0
ANG009,Angle Line 3/4x1/8,4.0
ANG010,Angle Line 3x1/4,0.5
ANG011,Angle Valve 1/2turn,29.0
ANG014,Angle Valve 1/2turn lirlee,6.0
AQU001,C/S/G Aqua Gloss Deep 4l,0.0
ARA003,Araldite Glue,22.0
ART001,Artist Brush Pkts,28.0
ART003,Artist Brush Pcs,1.0
ASI002,Asian Toilet,1.0
AXE003,Axe 3.5LB,4.0
AXE004,Axe 3LB,0.0
BAL004,Ball Cork 1,1.0
BAL005,Ball Cork 1/2,0.0
BAL006,Ball Cork 11/2,0.0
BAL007,Ball Cork 11/4,0.0
BAL010,Ball Fitting Bulb,6.0
BAL011,Ball Valve 1 Pegler,10.0
BAL012,Ball Valve 1/2 Pegler,5.0
BAL014,Ball Valve 3/4 Pegler,15.0
BAL017,Ballast Dust Wheelbarrow,1.0
BAL020,Ballast Mchele Wheelbarrow,1.0
BAL024,Ball Valve 11/4 pegler,0.0
BAL025,Ball Cork 3/4,6.0
BAL026,Ball Valve 3/4-Lirlee,0.0
BAM002,Bamburi Nguvu,1370.0
BAM004,Bamburi Powermax,1800.0
BAM005,Bamburi Tembo,20804.0
BAR001,Barbed Wire 480m,10.0
BAR002,Barbed Wire 610m,15.0
BAS032,Base Sgylw 4l,2.0
BAS067,Basin & Pedestal,0.0
BAS070,Basin Screw Small,0.0
BAS077,Basin Screw Big,0.0
BED003,Bed Bolts 5,8.0
BED004,Bed Bolts 6,21.0
BIN001,Binding Wire 1kg,298.0
BIN002,Binding Wire 17kg,135.0
BIN003,Binding Wire 23kg,40.0
BIN005,Binding Wire 15KG,714.0
BLA001,Black Oxide,12.0
BLA002,Black Pipe 1,0.0
BLA003,Black Pipe 11/2,3.0
BLA005,Black Pipe 2,1.0
BLA007,Black Pipe 3/4,0.0
BLA008,Black Pipe 4,1.0
BLA009,Black Sheet 8x4x14g,2.0
BLA010,Black Sheet 8x4x16g,52.0
BLA011,Black Sheet 8x4x18g(0.8mm),18.0
BLA016,Blanking Cover Double,13.0
BLA017,Blanking Cover Single,9.0
BLA019,BLACKSHEET 8X4X3MM,1.0
BLO001,Blockboard 1,4.0
BLO002,Blockboard 3/4,20.0
BLU001,Blue Triangle Cement,200.0
BOD007,Bodyfiller 1/2kg,6.0
BOD008,Bodyfiller 1kg,6.0
BOD009,Body filler 2.5kg,7.0
BOD010,Bodyfiller 4.5kg neo,9.0
BOL002,Bolt & Nut 10x2,34.0
