code,description,avg_monthly_q1,april_qty,old_moq,new_moq
ADA001,Adaptor Box 100x100x70,0.3333333333333333,1.0,0.08333333333333333,0.25
ADA002,Adaptor Box 150x150x70,1.6666666666666667,1.0,0.4166666666666667,0.4166666666666667
ADA003,Adaptor Box 200x200x80,1.0,3.0,0.25,0.75
ADA005,Adaptor Box 255x200x80mm,0.0,2.0,0.0,0.5
ADA006,Adaptor Box 300x250x120mm,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
ADJ001,Adjustable Screw Spanner,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
ALL001,Allan Key Big,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
ALL002,Allan Key Pcs,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
ALL004,Stanley-Alluminium Level 24''(600mmK) A-(RbE-1N0),1.0,0.0,0.25,0.25
ANG001,Angle Brackets,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
ANG002,Angle Line 11/2x1/4,3.0,0.0,0.75,0.75
ANG003,Angle Line 11/2x1/8,4.0,2.0,1.0,1.0
ANG005,Angle Line 1x1/8,3.0,2.0,0.75,0.75
ANG006,Angle Line 2x1/4,2.0,0.0,0.5,0.5
ANG007,Angle Line 2x1/8,4.666666666666667,3.0,1.1666666666666667,1.1666666666666667
ANG009,Angle Line 3/4x1/8,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
ANG010,Angle Line 3x1/4,0.16666666666666666,0.0,0.041666666666666664,0.041666666666666664
ANG011,Angle Valve 1/2turn,7.666666666666667,6.0,1.916666666666667,1.916666666666667
ANG014,Angle Valve 1/2turn lirlee,1.3333333333333333,2.0,0.3333333333333333,0.5
AQU001,C/S/G Aqua Gloss Deep 4l,0.0,0.0,0.0,0.0
ARA003,Araldite Glue,5.333333333333333,6.0,1.3333333333333333,1.5
ART001,Artist Brush Pkts,9.333333333333334,0.0,2.3333333333333335,2.3333333333333335
ART003,Artist Brush Pcs,0.0,1.0,0.0,0.25
ASI002,Asian Toilet,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
AXE003,Axe 3.5LB,1.0,1.0,0.25,0.25
AXE004,Axe 3LB,0.0,0.0,0.0,0.0
BAL004,Ball Cork 1,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
BAL005,Ball Cork 1/2,0.0,0.0,0.0,0.0
BAL006,Ball Cork 11/2,0.0,0.0,0.0,0.0
BAL007,Ball Cork 11/4,0.0,0.0,0.0,0.0
BAL010,Ball Fitting Bulb,2.0,0.0,0.5,0.5
BAL011,Ball Valve 1 Pegler,2.0,4.0,0.5,1.0
BAL012,Ball Valve 1/2 Pegler,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
BAL014,Ball Valve 3/4 Pegler,4.666666666666667,1.0,1.1666666666666667,1.1666666666666667
BAL017,Ballast Dust Wheelbarrow,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
BAL020,Ballast Mchele Wheelbarrow,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
BAL024,Ball Valve 11/4 pegler,0.0,0.0,0.0,0.0
BAL025,Ball Cork 3/4,1.0,3.0,0.25,0.75
BAL026,Ball Valve 3/4-Lirlee,0.0,0.0,0.0,0.0
