code,description
BAS078,Base Silicon Ext3 -20 L
CAN001,Canvas Fire hose 3x30m
CES002,C/E Silk Bril White 1Ltr
CES003,C/E Silk Bril White 4 ltr
CHA017,Chalk Pkt
CLE005,Clear Tape 2X20mts
COO004,Cooker Socket Grey
COR012,Cordless Spray Gun Set-(FCSG20LFBXO-1M)AS
CSG013,C/S/G Vesta Undercoat 1 Ltr
D16003,D 16-Kifaru
DAY011,Dayliff Chlorine65-5kgs
DIS001,Distribution Board 4way
DIS002,Distribution Board 8way
DRU004,Drum 240l
ELE040,Elec Cable 6mm3 core amoured
ELE041,Elec Cable 6mm 2core amoured-16mBmOMAS
ELE042,Elec Cable 2core amoured-10mm
ELE043,Elec Cable 6mm 2core amoured-2.5mBmOMAS
ELE044,Elec cable Single core 10mm
ELE045,Electric Sprayer630WTS-(FSG6301-BBSO)MAS
FIB002,Fibre Cement Board 6mm
GRO017,Grout white-kalekim 3kg
GRO018,Grout Grey- Kalekim 3kg
GUM009,Gumboot H/G No 6
GUM010,Gumboot H/G No 7
GUM011,Gumboot H/G No 8
GUM012,Gumboot H/G No 9
GUM013,Gumboot H/G No 10
GYP042,Gypsum Cornace-Type 2
IZO001,IZOSTOP 3001-Kalekim
LED014,LED Panel 24W
MAS025,"Masking Tape 1""X20mts"
MAS026,"Masking Tape 2""X20mts"
NAI036,Nail Polished 1.5- Kgs
NEM052,Nemsi Paint Roller 9
RID007,Ridges 28G
RSB005,R/S Box Charcoal Grey 3m 28g
RSB006,R/S Box Charcoal Grey 2.5m 28g
SID004,Side Flash 28G
SOC013,Socket Double
SPI008,Spirit Level Medium Magnetic
SPR028,Spray Paint Maxima Bright Silver
TIL014,Tile Adhesive 1951-Kalekim 25kg
TIL015,Tile Adhesive 1952 White-kalekim 25BkgOMAS
TRA009,Transport
TRO012,Trolley
USP004,USPRO Foam Sista
VAL009,Valley 28G
WHE004,Wheelbarrow M/G
ART003,Artist Brush Pcs
CSG014,C/S/G Twopack C/Varnish Satin 4lt
D10003,D 10-Kifaru
D20004,D 20-Kifaru
D8K001,D 8 -Kifaru
LEA004,Leaf Rake Plastic Medium
SIK001,SikaMonoTop-4012-25kg
TIL015,Tile Adhesive 1952 White-kalekim 25KkgAREN
TRO013,Trowel Rubber Handle
TUB047,Tube 2x1x18g(0.8mm)Non structural
